path,type,size_bytes,category,component,purpose,runtime_impact,source_of_truth,last_commit,status,recommendation,sha256,snapshot_sha
aither-v2/03-vllm-14b-deploy/docs/report-fixed-deployment.md,.md,9935,documentation,vllm-legacy,Documentation: Vllm Legacy,NO,NO,7c064830906d,Historical,REVIEW,ef04c2b51326165d58aac0b9adeeb0b4ae14b9661434ad0f4aff64e2eab62e9f,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/docs/report-vllm-deploy.md,.md,12787,documentation,vllm-legacy,Documentation: Vllm Legacy,NO,NO,aaa19c7c3280,Historical,REVIEW,af231d3887714f401d4b83b01919e454f7e06fe3c67654349147c4b6b0831eeb,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/manifests/benchmark-endurance-60min.yaml,.yaml,4256,configuration,vllm-legacy,Kubernetes Deployment for vllm-legacy,NO,NO,4b45879a2c4d,Historical,REVIEW,2d16eccf5601e6c1b5ab377805cca41c34553c6c5fcaf8fbee8af64378a94368,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/manifests/benchmark-job.yaml,.yaml,7359,configuration,vllm-legacy,Kubernetes Deployment for vllm-legacy,NO,NO,a6fa8caea3d8,Historical,REVIEW,35575da94462f3c208be50361e661c9529ed8ca282bbefededf973fd0ccd3775,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/manifests/model-pvc.yaml,.yaml,325,configuration,vllm-legacy,Kubernetes Deployment for vllm-legacy,NO,NO,1d1d10de7be6,Historical,REVIEW,ec5131c2c1881f2a37dc290b2bcac08718b946b11a71959b7a3346640d2637be,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/manifests/nginx-gateway-32b.conf,.conf,921,configuration,vllm-legacy,nginx configuration for vllm-legacy,NO,NO,fe212ed082cb,Historical,REVIEW,73821821bf0e4c9f85c1bf8fc91c888867d112ae03139f235784329188dbb086,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/manifests/nginx-gateway-32b.yaml,.yaml,3072,configuration,vllm-legacy,Kubernetes Deployment for vllm-legacy,NO,NO,4b45879a2c4d,Historical,REVIEW,90415d283924b74a716ac0743b9a445644e85b7294eb9db316c3f34bf90853be,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/manifests/vllm-deployment.yaml,.yaml,7952,configuration,vllm-legacy,Kubernetes Deployment for vllm-legacy,NO,NO,517c2ac40505,Historical,REVIEW,052fee8ed5fad1dbb19a1a7fd29181301db507e95c7e4c0bcb1bf7c4f22b1f9f,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/manifests/vllm-namespace.yaml,.yaml,66,configuration,vllm-legacy,Kubernetes Deployment for vllm-legacy,NO,NO,1d1d10de7be6,Historical,REVIEW,3990cee8459704dea3c4c8222aa950603ef6323b8e11f4ff1dd12accfa1ba319,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/manifests/vllm-network-policy.yaml,.yaml,376,configuration,vllm-legacy,Kubernetes Deployment for vllm-legacy,NO,NO,a280e21868e7,Historical,REVIEW,edba214ad73e214631cbe2acd6519a05eff7fcb409e720ea8556ec69dd48bb89,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/manifests/vllm-sa.yaml,.yaml,92,configuration,vllm-legacy,Kubernetes Deployment for vllm-legacy,NO,NO,7c064830906d,Historical,REVIEW,e7b269321d702fab4a41d37b706faebeaf3036cb9b8d2db5faa5fcb2f48c5186,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/manifests/vllm-service.yaml,.yaml,622,configuration,vllm-legacy,Kubernetes Deployment for vllm-legacy,NO,NO,7c064830906d,Historical,REVIEW,343ade96b36fff0fe5a0ec979a7e545a05e6b34b9bc7e7514f6962b30a769d75,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/04-tensor-parallelism/.gitkeep,(none),0,other,placeholder,Purpose requires manual classification for placeholder,NO,NO,9d7818424835,Stale,REVIEW,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bc3475b84a3d266f992046db125c65ed60506bd0
